Ti S_Ti j F(Ti,S_Ti,j) 
0.009901 100.663582 1 8.103388
0.019802 102.506081 2 9.502244
0.029703 103.678970 3 9.581176
0.039604 96.987556 4 5.810007
0.049505 106.265083 5 11.024305
0.059406 107.473572 6 11.285714
0.069307 99.046837 7 6.112635
0.079208 103.578369 8 10.599705
0.089109 90.112244 9 1.544156
0.099010 93.248840 10 2.103612
0.108911 101.591599 11 7.515001
0.118812 109.774963 12 16.674339
0.128713 108.629272 12 15.466269
0.138614 98.540565 14 4.070218
0.148515 94.422081 15 2.015499
0.158416 97.360298 16 3.508325
0.168317 100.668777 16 5.110738
0.178218 100.662605 18 4.941225
0.188119 95.435738 19 2.169851
0.198020 108.844795 20 13.325105
0.207921 103.895134 21 7.055882
0.217822 97.750908 22 2.654041
0.227723 96.249435 23 1.719602
0.237624 99.284676 24 2.723981
0.247525 103.362671 25 5.896879
0.257426 101.080620 26 3.315275
0.267327 100.732658 27 2.932230
0.277228 96.690346 28 0.963769
0.287129 105.651039 29 6.306503
0.297030 112.766747 24 17.050617
0.306931 110.523857 30 12.744995
0.316832 98.662552 32 0.925532
0.326733 112.977806 24 17.086935
0.336634 95.619644 34 0.147724
0.346535 103.273087 31 3.208849
0.356436 114.179260 22 18.608603
0.366337 97.966217 37 0.000000
0.376238 135.070801 16 41.511856
0.386139 103.489830 27 4.676252
0.396040 100.405113 40 0.000000
0.405941 134.059906 11 40.035507
0.415842 91.837425 42 0.000000
0.425743 96.927887 43 0.000000
0.435644 155.186035 4 0.000000
0.445545 103.794342 41 0.000000
0.455446 107.342728 46 0.000000
0.465347 109.456131 36 7.482172
0.475248 151.173080 23 56.445606
0.485149 100.543175 49 0.000000
0.495050 104.359001 49 0.000000
0.504951 108.301414 51 0.000000
0.514852 113.608337 27 16.068619
0.524752 83.322762 53 0.000000
0.534653 116.156975 47 0.000000
0.544554 104.055916 51 0.000000
0.554455 115.169998 31 17.180784
0.564356 101.651657 53 0.000000
0.574257 117.853310 19 21.973454
0.584158 108.341911 56 0.000000
0.594059 112.646919 54 0.000000
0.603960 99.099411 61 0.000000
0.613861 107.317253 62 0.000000
0.623762 72.782974 63 0.000000
0.633663 125.056610 14 29.042503
0.643564 120.289261 44 0.000000
0.653465 83.468491 66 0.000000
0.663366 84.850983 67 0.000000
0.673267 100.033768 68 0.000000
0.683168 79.728531 69 0.000000
0.693069 131.848923 38 34.979774
0.702970 117.519608 44 0.000000
0.712871 113.913101 48 0.000000
0.722772 94.368477 73 0.000000
0.732673 89.871307 74 0.000000
0.742574 126.244072 45 0.000000
0.752475 131.983353 9 0.381116
0.762376 115.555229 37 14.719026
0.772277 133.897049 26 35.820656
0.782178 99.610428 79 0.000000
0.792079 104.288322 63 0.000000
0.801980 100.871185 81 0.000000
0.811881 126.849243 28 28.800585
0.821782 104.737915 79 0.000000
0.831683 129.155685 32 30.709557
0.841584 109.712936 69 0.000000
0.851485 92.053238 57 0.000000
0.861386 76.352036 87 0.000000
0.871287 94.258820 88 0.000000
0.881188 92.443970 89 0.000000
0.891089 124.035904 35 25.170671
0.900990 107.989197 91 0.000000
0.910891 93.788216 92 0.000000
0.920792 111.163963 24 11.860004
0.930693 141.251480 12 41.642570
0.940594 152.004181 16 52.199997
0.950495 110.828896 90 0.000000
0.960396 122.077995 16 22.244486
0.970297 132.688965 15 32.635174
0.980198 112.811096 39 12.211090
0.990099 112.367401 38 12.255303
0.009901 102.156662 1 8.441264
0.019802 100.264580 2 8.117826
0.029703 100.645676 3 8.819433
0.039604 94.898804 4 4.129501
0.049505 99.375160 5 7.310662
0.059406 98.150131 6 6.032505
0.069307 97.590096 7 5.059869
0.079208 97.106453 8 4.538195
0.089109 109.105766 9 13.978829
0.099010 95.464058 10 3.036211
0.108911 95.069977 11 2.587913
0.118812 106.036621 12 12.417957
0.128713 97.967941 13 3.784213
0.138614 94.113792 14 2.023610
0.148515 98.063698 15 3.651775
0.158416 97.169319 16 3.369898
0.168317 94.867676 17 2.096982
0.178218 102.361794 14 7.707473
0.188119 101.946716 19 5.756733
0.198020 113.560211 12 20.474041
0.207921 111.044792 19 16.412868
0.217822 107.201225 22 10.425303
0.227723 102.955368 23 5.533728
0.237624 86.502617 24 0.249287
0.247525 101.707588 25 4.066576
0.257426 103.846375 26 5.867544
0.267327 111.449432 18 16.460970
0.277228 109.973228 27 12.700321
0.287129 120.170906 15 26.843937
0.297030 127.542686 6 1.756253
0.306931 101.756432 31 2.491199
0.316832 93.405571 32 0.205309
0.326733 105.669510 33 4.975693
0.336634 108.070259 34 6.820529
0.346535 87.731895 35 0.000000
0.356436 106.377640 36 3.413332
0.366337 126.656258 17 33.041374
0.376238 91.876953 38 0.000000
0.386139 102.723167 39 0.131936
0.396040 87.735519 39 0.000000
0.405941 89.715286 41 0.000000
0.415842 132.108368 4 0.724682
0.425743 91.613861 43 0.000000
0.435644 134.279022 10 40.003670
0.445545 91.910126 45 0.000000
0.455446 110.758217 24 13.483605
0.465347 101.664429 47 0.000000
0.475248 94.713463 48 0.000000
0.485149 75.667702 49 0.000000
0.495050 107.215134 49 0.000000
0.504951 111.541611 12 15.876995
0.514852 87.684540 51 0.000000
0.524752 87.724846 53 0.000000
0.534653 115.588013 42 0.000000
