Ti S_Ti j F(Ti,S_Ti,j) 
688961880064.000000 0.000000 0 740501487616.000000
0.000000 0.000000 0 0.000044
0.000000 0.000000 0 0.000000
0.000000 0.000010 0 0.000011
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.534653 114.937897 0 0.000000
0.000000 0.000000 0 0.000000
0.000000 0.000000 0 0.000000
0.564356 115.776299 23 19.457205
0.574257 86.659866 58 0.000000
0.584158 96.878494 59 0.000000
0.594059 106.990906 59 0.000000
0.603960 116.391670 50 0.000000
0.613861 136.519653 9 0.400378
0.623762 102.008942 47 0.000000
0.633663 95.121078 55 0.000000
0.643564 111.168335 63 0.000000
0.653465 126.977356 9 1.322310
0.663366 110.668121 50 0.000000
0.673267 125.957314 42 0.000000
0.683168 89.542313 68 0.000000
0.693069 94.791763 60 0.000000
0.702970 149.247360 9 0.000000
0.712871 122.683296 28 25.224096
0.722772 91.469788 73 0.000000
0.732673 103.574509 65 0.000000
0.742574 122.681297 35 24.581558
0.752475 94.797684 76 0.000000
0.762376 83.527840 77 0.000000
0.772277 111.920761 74 0.000000
0.782178 93.974808 77 0.000000
0.792079 100.436943 58 0.000000
0.801980 126.451431 27 28.511162
0.811881 130.203140 49 0.000000
0.821782 81.971985 83 0.000000
0.831683 103.788704 83 0.000000
0.841584 98.348404 85 0.000000
0.851485 101.472878 86 0.000000
0.861386 87.819702 87 0.000000
0.871287 121.690201 40 22.332602
0.881188 119.418365 63 0.000000
0.891089 164.723053 35 65.794502
0.900990 89.664215 91 0.000000
